Rat_ID,Group,Intervention,Recording_Time_Point,Phase,Zeitgeber_Time,Sleep
10,VC,NPR,BL,DARK,19,2510
10,VC,NPR,BL,DARK,20,850
10,VC,NPR,BL,DARK,21,2240
10,VC,NPR,BL,DARK,22,850
10,VC,NPR,BL,DARK,23,790
10,VC,NPR,BL,DARK,24,1690
11,VC,NPR,BL,LIGHT,1,2740
11,VC,NPR,BL,LIGHT,2,3040
11,VC,NPR,BL,LIGHT,3,2900
11,VC,NPR,BL,LIGHT,4,2160
11,VC,NPR,BL,LIGHT,5,3090
11,VC,NPR,BL,LIGHT,6,1510
11,VC,NPR,BL,LIGHT,7,2840
11,VC,NPR,BL,LIGHT,8,3300
11,VC,NPR,BL,LIGHT,9,3250
11,VC,NPR,BL,LIGHT,10,2730
11,VC,NPR,BL,LIGHT,11,2860
11,VC,NPR,BL,LIGHT,12,3220
11,VC,NPR,BL,DARK,13,1850
11,VC,NPR,BL,DARK,14,2980
11,VC,NPR,BL,DARK,15,1430
11,VC,NPR,BL,DARK,16,1890
11,VC,NPR,BL,DARK,17,420
11,VC,NPR,BL,DARK,18,30
11,VC,NPR,BL,DARK,19,870
11,VC,NPR,BL,DARK,20,1690
11,VC,NPR,BL,DARK,21,2580
11,VC,NPR,BL,DARK,22,0
11,VC,NPR,BL,DARK,23,0
11,VC,NPR,BL,DARK,24,120
12,VC,NPR,BL,LIGHT,1,2100
12,VC,NPR,BL,LIGHT,2,2990
12,VC,NPR,BL,LIGHT,3,3100
12,VC,NPR,BL,LIGHT,4,1970
12,VC,NPR,BL,LIGHT,5,3250
12,VC,NPR,BL,LIGHT,6,3270
12,VC,NPR,BL,LIGHT,7,2850
12,VC,NPR,BL,LIGHT,8,1920
12,VC,NPR,BL,LIGHT,9,3200
12,VC,NPR,BL,LIGHT,10,3300
12,VC,NPR,BL,LIGHT,11,2480
12,VC,NPR,BL,LIGHT,12,3260
12,VC,NPR,BL,DARK,13,860
12,VC,NPR,BL,DARK,14,1540
12,VC,NPR,BL,DARK,15,1020
12,VC,NPR,BL,DARK,16,520
12,VC,NPR,BL,DARK,17,460
12,VC,NPR,BL,DARK,18,410
12,VC,NPR,BL,DARK,19,540
12,VC,NPR,BL,DARK,20,260
12,VC,NPR,BL,DARK,21,750
12,VC,NPR,BL,DARK,22,700
12,VC,NPR,BL,DARK,23,1050
12,VC,NPR,BL,DARK,24,1690
13,VC,NPR,BL,LIGHT,1,3420
13,VC,NPR,BL,LIGHT,2,3410
13,VC,NPR,BL,LIGHT,3,2210
13,VC,NPR,BL,LIGHT,4,3160
13,VC,NPR,BL,LIGHT,5,3160
13,VC,NPR,BL,LIGHT,6,3320
13,VC,NPR,BL,LIGHT,7,3170
13,VC,NPR,BL,LIGHT,8,3050
13,VC,NPR,BL,LIGHT,9,3430
13,VC,NPR,BL,LIGHT,10,3090
13,VC,NPR,BL,LIGHT,11,2690
13,VC,NPR,BL,LIGHT,12,680
13,VC,NPR,BL,DARK,13,1420
13,VC,NPR,BL,DARK,14,2120
13,VC,NPR,BL,DARK,15,1380
13,VC,NPR,BL,DARK,16,890
13,VC,NPR,BL,DARK,17,1500
13,VC,NPR,BL,DARK,18,870
13,VC,NPR,BL,DARK,19,1280
13,VC,NPR,BL,DARK,20,1810
13,VC,NPR,BL,DARK,21,1590
13,VC,NPR,BL,DARK,22,1500
13,VC,NPR,BL,DARK,23,280
13,VC,NPR,BL,DARK,24,2760
14,VC,NPR,BL,LIGHT,1,3360
14,VC,NPR,BL,LIGHT,2,3360
14,VC,NPR,BL,LIGHT,3,3130
14,VC,NPR,BL,LIGHT,4,3120
14,VC,NPR,BL,LIGHT,5,3200
14,VC,NPR,BL,LIGHT,6,3390
14,VC,NPR,BL,LIGHT,7,2210
14,VC,NPR,BL,LIGHT,8,3330
14,VC,NPR,BL,LIGHT,9,3420
14,VC,NPR,BL,LIGHT,10,1860
14,VC,NPR,BL,LIGHT,11,3310
14,VC,NPR,BL,LIGHT,12,3230
14,VC,NPR,BL,DARK,13,740
14,VC,NPR,BL,DARK,14,1720
14,VC,NPR,BL,DARK,15,2810
14,VC,NPR,BL,DARK,16,1470
14,VC,NPR,BL,DARK,17,990
14,VC,NPR,BL,DARK,18,860
14,VC,NPR,BL,DARK,19,1090
14,VC,NPR,BL,DARK,20,1310
14,VC,NPR,BL,DARK,21,1800
14,VC,NPR,BL,DARK,22,420
14,VC,NPR,BL,DARK,23,1170
14,VC,NPR,BL,DARK,24,1630
15,VC,NPR,BL,LIGHT,1,2870
15,VC,NPR,BL,LIGHT,2,3250
15,VC,NPR,BL,LIGHT,3,3130
15,VC,NPR,BL,LIGHT,4,3020
15,VC,NPR,BL,LIGHT,5,2960
